Title,Description,Status,Labels,Project,Team,Priority,Area
"Import StrideSlip backlog into Linear","Run the Linear importer after a personal API key is saved locally, then verify the project, labels, Done registry, and Todo backlog.","Todo","project-strideslip-ios,strideslip,ios,validation,linear","StrideSlip iOS","TYR","High","Linear"
"Validate intermittent Apple Health loading","Reproduce cases where HealthKit data does not load on app open and verify refresh status, authorization status, and fallback handling.","Todo","project-strideslip-ios,strideslip,ios,validation,healthkit","StrideSlip iOS","TYR","Urgent","HealthKit"
"Audit Live Activity refresh timing","Confirm Lock Screen step updates after background delivery, foreground refresh, manual refresh, and iOS throttling windows.","Todo","project-strideslip-ios,strideslip,ios,validation,activitykit","StrideSlip iOS","TYR","High","Live Activity"
"Verify no repeated Health onboarding","Confirm users who granted Health permission do not keep seeing the connect/preview onboarding screen.","Todo","project-strideslip-ios,strideslip,ios,validation,onboarding","StrideSlip iOS","TYR","High","Onboarding"
"Run household compete end-to-end","Test Tyron creates a board, Tiffany joins, both sync, both refresh, and errors stay short and clear.","Todo","project-strideslip-ios,strideslip,ios,validation,compete,cloudkit","StrideSlip iOS","TYR","High","Compete"
"Deploy CloudKit competition schema","Confirm the CloudKit competition schema exists in Development and Production for the app container.","Todo","project-strideslip-ios,strideslip,ios,validation,cloudkit","StrideSlip iOS","TYR","High","CloudKit"
"Validate real workout heart-rate zones","Use real stair stepper, strength, and walk workouts to confirm HR zones and chart match Apple Health expectations.","Todo","project-strideslip-ios,strideslip,ios,validation,heart-rate,workouts","StrideSlip iOS","TYR","High","Workouts"
"Test cardio detail drill-down","Tap cardio from Insights, inspect zone rows, best session, workout list, and navigation to workout detail.","Todo","project-strideslip-ios,strideslip,ios,validation,cardio,insights","StrideSlip iOS","TYR","Medium","Cardio"
"Test editable heart-rate zones","Edit Zone 2-5 lower bounds, reject invalid ascending values, reset defaults, and verify app-wide updates.","Todo","project-strideslip-ios,strideslip,ios,validation,heart-rate,settings","StrideSlip iOS","TYR","Medium","Settings"
"Validate week detail day drill-down","From week insights, tap daily rows and confirm day detail, hourly timeline, cardio summary, and workout navigation.","Todo","project-strideslip-ios,strideslip,ios,validation,insights,navigation","StrideSlip iOS","TYR","Medium","Insights"
"QA Today hero on real phones","Check Today layout on Tyron and Tiffany phones for readable axis labels, text contrast, no overlap, and safe-area spacing.","Todo","project-strideslip-ios,strideslip,ios,validation,today,ui","StrideSlip iOS","TYR","High","Today"
"QA light theme default","Confirm fresh install defaults to light theme and dark mode remains available by preference.","Todo","project-strideslip-ios,strideslip,ios,validation,theme","StrideSlip iOS","TYR","Medium","Theme"
"QA dark theme contrast","Review Today, Activity, Compete, Insights, Settings, and workout detail in dark mode for readability.","Todo","project-strideslip-ios,strideslip,ios,validation,theme,ui","StrideSlip iOS","TYR","Medium","Theme"
"Validate Activity filters after relaunch","Set mode, day filter, sort, and workout filter; relaunch app and confirm choices persist.","Todo","project-strideslip-ios,strideslip,ios,validation,activity,preferences","StrideSlip iOS","TYR","Medium","Activity"
"Validate Insights scope persistence","Switch Day, Week, Month; relaunch app and confirm the chosen scope persists without changing Today.","Todo","project-strideslip-ios,strideslip,ios,validation,insights,preferences","StrideSlip iOS","TYR","Medium","Insights"
"Capture updated share card screenshots","Generate day, strength, stair stepper, indoor walk, and outdoor walk share cards for visual QA and website assets.","Todo","project-strideslip-ios,strideslip,ios,validation,sharing","StrideSlip iOS","TYR","Low","Sharing"
"Validate outdoor route map privacy","Confirm route maps render locally and no route points appear in CloudKit records, diagnostics, or copied text.","Todo","project-strideslip-ios,strideslip,ios,validation,mapkit,privacy","StrideSlip iOS","TYR","High","Privacy"
"Test Watch companion with device","Install on paired Apple Watch and confirm aggregate snapshot behavior without exposing raw Health data.","Todo","project-strideslip-ios,strideslip,ios,validation,watch","StrideSlip iOS","TYR","Medium","Watch"
"Validate App Intents","Test shortcuts for today steps, open Compete, and sync household board on a physical iPhone.","Todo","project-strideslip-ios,strideslip,ios,validation,app-intents","StrideSlip iOS","TYR","Medium","Shortcuts"
"Run TestFlight beta acceptance","Upload a build, process in App Store Connect, invite Tiffany, install through TestFlight, and verify onboarding.","Todo","project-strideslip-ios,strideslip,ios,validation,testflight","StrideSlip iOS","TYR","High","Release"
"Complete App Store privacy labels","Make App Store Connect labels match aggregate Health/Fitness use, no tracking, and no raw HealthKit upload.","Todo","project-strideslip-ios,strideslip,ios,validation,privacy,release","StrideSlip iOS","TYR","High","Privacy"
"Refresh README screenshots","Replace old screenshots with current Today, Activity, Compete, Insights, and workout detail captures.","Todo","project-strideslip-ios,strideslip,ios,validation,docs","StrideSlip iOS","TYR","Low","Docs"
"Publish website project update","Add a separate StrideSlip project/status section on tyronsamaroo.dev without changing existing stats, skills, experience, education, or project content.","Todo","project-strideslip-ios,strideslip,ios,validation,website","StrideSlip iOS","TYR","Medium","Website"
"Finalize app name and icon direction","Choose final app name, icon concept, and display name while preserving bundle identifier compatibility.","Todo","project-strideslip-ios,strideslip,ios,validation,branding","StrideSlip iOS","TYR","Medium","Branding"
"Polish workout tagging UX","Make Push/Pull/Leg/custom training tags fast to apply from workout detail and easy to edit later.","Todo","project-strideslip-ios,strideslip,ios,validation,workouts,customization","StrideSlip iOS","TYR","Medium","Workouts"
"Add deeper monthly insights","Improve monthly summaries with best weeks, cardio/strength split, heat map, and goal pacing.","Todo","project-strideslip-ios,strideslip,ios,backlog,insights","StrideSlip iOS","TYR","Medium","Insights"
"Add stronger weekly receipts","Make weekly receipts richer for sharing and comparison, including workouts, cardio, strength, steps, distance, burn, and trends.","Todo","project-strideslip-ios,strideslip,ios,backlog,insights,sharing","StrideSlip iOS","TYR","Medium","Insights"
"Add HealthKit troubleshooting banner","When data looks stale, show a compact status with last refresh, permission hint, and retry action.","Todo","project-strideslip-ios,strideslip,ios,backlog,healthkit,qol","StrideSlip iOS","TYR","High","HealthKit"
"Improve Compete empty/error states","Make missing CloudKit, missing schema, offline, and no-household states obvious without giant scary errors.","Todo","project-strideslip-ios,strideslip,ios,backlog,compete,ui","StrideSlip iOS","TYR","High","Compete"
"Create Linear views for StrideSlip","Create Linear views for Needs Validation, Today/HealthKit, Compete, Insights, and Release after import.","Todo","project-strideslip-ios,strideslip,ios,backlog,linear","StrideSlip iOS","TYR","Low","Linear"
